,disease,total,correct
0,Apple___Apple_scab,630,626
1,Apple___Black_rot,621,619
2,Apple___Cedar_apple_rust,275,275
3,Apple___healthy,1645,1637
4,Blueberry___healthy,1502,1502
5,Cherry_(including_sour)___healthy,1052,1052
6,Cherry_(including_sour)___Powdery_mildew,854,851
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,459
8,Corn_(maize)___Common_rust_,1192,1191
9,Corn_(maize)___healthy,985,975
10,Corn_(maize)___Northern_Leaf_Blight,1162,1162
11,Grape___Black_rot,1180,1180
12,Grape___Esca_(Black_Measles),1383,1382
13,Grape___healthy,1076,1076
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),423,423
15,Orange___Haunglongbing_(Citrus_greening),5507,5503
16,Peach___Bacterial_spot,2297,2292
17,Peach___healthy,360,359
18,"Pepper,_bell___Bacterial_spot",997,993
19,"Pepper,_bell___healthy",1478,1476
20,Potato___Early_blight,1000,1000
21,Potato___healthy,1000,993
22,Potato___Late_blight,152,149
23,Raspberry___healthy,371,371
24,Soybean___healthy,5090,5073
25,Squash___Powdery_mildew,1835,1835
26,Strawberry___healthy,1109,1108
27,Strawberry___Leaf_scorch,456,456
28,Tomato___Bacterial_spot,2127,2114
29,Tomato___Early_blight,1000,981
30,Tomato___healthy,1909,1887
31,Tomato___Late_blight,952,949
32,Tomato___Leaf_Mold,1771,1750
33,Tomato___Septoria_leaf_spot,1676,1662
34,Tomato___Spider_mites Two-spotted_spider_mite,1404,1384
35,Tomato___Target_Spot,5357,5329
36,Tomato___Tomato_mosaic_virus,373,373
37,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1591,1588
