frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode,"steps_per_second': 17.71621543907415, 'validation","steps_per_second': 26.984023416431686, 'validation","steps_per_second': 26.977983685723434, 'validation","steps_per_second': 27.072754210432795, 'validation","steps_per_second': 25.44870299444493, 'validation","steps_per_second': 26.39805521081854, 'validation","steps_per_second': 26.44451304196111, 'validation","steps_per_second': 26.314385792003613, 'validation"
0.42248604,0.10299411,0.43618703,1.0753045,0.0813759,0.032261338,1.404899,1.404899,1100,train,,,,,,,,
,,,,,,,,1100,eval,0.0,,,,,,,
0.31768864,0.097778864,0.37905213,0.8785174,0.06883991,0.015157316,1.1856986,1.1856986,2100,train,,,,,,,,
,,,,,,,,2100,eval,,0.0,,,,,,
0.2792625,0.093984365,0.32619926,0.7736043,0.06262555,0.011532986,1.0599985,1.0599985,3100,train,,,,,,,,
,,,,,,,,3100,eval,,,0.0,,,,,
0.25691482,0.089634456,0.279131,0.6969977,0.060930073,0.010386815,0.96508247,0.96508247,4100,train,,,,,,,,
,,,,,,,,4100,eval,,,,0.0,,,,
0.24628147,0.087799735,0.24761829,0.64998627,0.058575295,0.009711569,0.90142554,0.90142554,5100,train,,,,,,,,
,,,,,,,,5100,eval,,,,,0.0,,,
0.23543839,0.08471257,0.22853686,0.6162515,0.058336146,0.009227939,0.85212135,0.85212135,6100,train,,,,,,,,
,,,,,,,,6100,eval,,,,,,0.0,,
0.22435455,0.08274632,0.20957908,0.58217037,0.056563836,0.0089261215,0.8042104,0.8042104,7100,train,,,,,,,,
,,,,,,,,7100,eval,,,,,,,0.0,
0.22665122,0.08177775,0.2169437,0.58991635,0.05605996,0.008484009,0.7998873,0.7998873,8100,train,,,,,,,,
,,,,,,,,8100,eval,,,,,,,,0.0
