frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.42094022,0.10534725,0.47992072,1.1476347,0.0867531,0.054674823,1.4821427,1.4821427,1000,train
0.34327093,0.10180108,0.39475396,0.9279474,0.07200938,0.016112069,1.2406987,1.2406987,2000,train
0.29403442,0.0966197,0.36445126,0.8334531,0.06599179,0.012356206,1.1242964,1.1242964,3000,train
0.2694272,0.09163208,0.33570987,0.77056116,0.06326976,0.010522291,1.041351,1.041351,4000,train
0.2524682,0.09056194,0.3039946,0.7192153,0.061714225,0.01047655,0.9720257,0.9720257,5000,train
0.24323924,0.0867993,0.2709177,0.6687648,0.058424465,0.009383677,0.90570676,0.90570676,6000,train
0.23543797,0.08433415,0.24316587,0.6288614,0.05685748,0.009066167,0.8516371,0.8516371,7000,train
0.22424236,0.08177093,0.22618712,0.5962921,0.055512946,0.008579321,0.8059896,0.8059896,8000,train
0.21633333,0.079215735,0.20951317,0.570565,0.057129122,0.0083736405,0.7683593,0.7683593,9000,train
0.21350192,0.07882508,0.19878413,0.5519899,0.05294887,0.007930372,0.73911506,0.73911506,10000,train
0.21154636,0.07825195,0.18402924,0.5357683,0.053806767,0.00813406,0.713122,0.713122,11000,train
0.20054509,0.074213274,0.17152612,0.5064916,0.052763153,0.007444238,0.6744462,0.6744462,12000,train
0.2015022,0.074478745,0.17144711,0.5060628,0.05117419,0.007460234,0.6657363,0.6657363,13000,train
0.19721612,0.07371951,0.16970797,0.5005917,0.052688885,0.0072591896,0.65296775,0.65296775,14000,train
0.19483119,0.07315234,0.16332802,0.49004126,0.051632058,0.0070977774,0.63610893,0.63610893,15000,train
0.17771713,0.06883399,0.1314715,0.43208477,0.0475285,0.0065336805,0.5744291,0.5744291,16000,train
0.16981152,0.065962024,0.13167152,0.41909486,0.04541961,0.006230002,0.5601573,0.5601573,17000,train
0.16963524,0.06650689,0.12422388,0.41082868,0.044175334,0.0062872777,0.5506315,0.5506315,18000,train
0.17032371,0.06666542,0.12500626,0.41204557,0.043978717,0.0060718106,0.5505932,0.5505932,19000,train
0.16485828,0.06494773,0.12436794,0.40433815,0.044134166,0.006030242,0.54164267,0.54164267,20000,train
0.16769958,0.06545179,0.12238661,0.40538362,0.043830577,0.006015215,0.5419886,0.5419886,21000,train
0.16319048,0.06411044,0.11931171,0.3956204,0.043102346,0.005905204,0.532099,0.532099,22000,train
0.16533029,0.06498032,0.122196466,0.40145117,0.042954404,0.0059895916,0.5378018,0.5378018,23000,train
0.16275926,0.06412954,0.11871015,0.3945462,0.043090455,0.0058568344,0.53076845,0.53076845,24000,train
0.16284725,0.06448681,0.12521383,0.4010003,0.04266744,0.00578486,0.53709424,0.53709424,25000,train
0.16251495,0.06453019,0.11545562,0.39136904,0.042897437,0.0059708557,0.5273352,0.5273352,26000,train
0.16637287,0.06484947,0.1207043,0.4014714,0.043563943,0.0059806006,0.5373113,0.5373113,27000,train
0.16000786,0.063564435,0.1156456,0.38586715,0.040821396,0.005827568,0.52157813,0.52157813,28000,train
0.16444904,0.06459391,0.1185279,0.3954841,0.042100415,0.0058126487,0.5310685,0.5310685,29000,train
0.16116636,0.06321587,0.1189873,0.39247596,0.043239247,0.005867378,0.52793205,0.52793205,30000,train
0.1642742,0.06503156,0.116128094,0.3942319,0.04290984,0.005888237,0.52956164,0.52956164,31000,train
0.16478269,0.06498612,0.12021295,0.39779046,0.04203997,0.0057690646,0.5329928,0.5329928,32000,train
0.16385274,0.064033635,0.11994755,0.39663404,0.04291083,0.0058897147,0.5317079,0.5317079,33000,train
0.1623865,0.06387577,0.12006444,0.39366907,0.041589808,0.005752463,0.5286149,0.5286149,34000,train
0.16271389,0.06480262,0.1180376,0.3963499,0.044785913,0.006009994,0.5311688,0.5311688,35000,train
0.16235699,0.06428084,0.119922325,0.39356154,0.041272573,0.0057286224,0.52825254,0.52825254,36000,train
0.16010037,0.063494824,0.11343978,0.3858967,0.043128032,0.0057336763,0.5204623,0.5204623,37000,train
0.16232654,0.06347645,0.116925694,0.39042836,0.041912388,0.005787635,0.52486837,0.52486837,38000,train
0.16137369,0.06496536,0.11399779,0.38932297,0.042992573,0.0059931204,0.5236365,0.5236365,39000,train
0.16112663,0.06385043,0.113877915,0.38370517,0.03914028,0.0057097203,0.51789284,0.51789284,40000,train
0.16216166,0.0636598,0.1171733,0.39014632,0.04126769,0.005883768,0.5242073,0.5242073,41000,train
0.1626729,0.064103894,0.117598936,0.3908913,0.04079663,0.005718661,0.52482563,0.52482563,42000,train
0.16106126,0.06340483,0.11590207,0.38668394,0.04065144,0.005664105,0.52049214,0.52049214,43000,train
0.16303487,0.06389066,0.118195005,0.3932548,0.04238961,0.005744582,0.52693623,0.52693623,44000,train
0.16264577,0.06358531,0.11741908,0.39030367,0.040999137,0.005654411,0.52385736,0.52385736,45000,train
0.16080102,0.063037634,0.11508924,0.3876581,0.04293727,0.0057929866,0.5210863,0.5210863,46000,train
0.1607409,0.06348185,0.115767844,0.3883462,0.042605687,0.0057501057,0.5216501,0.5216501,47000,train
0.16365176,0.06423685,0.1207528,0.39713868,0.042641107,0.005856168,0.53031594,0.53031594,48000,train
0.16041192,0.063710496,0.11562814,0.3885594,0.04301717,0.0057909773,0.5216099,0.5216099,49000,train
0.16064495,0.063152745,0.116904125,0.38852093,0.041973013,0.0058460115,0.5214465,0.5214465,50000,train
0.16004261,0.06381233,0.115844764,0.3863585,0.040878188,0.00578068,0.5191587,0.5191587,51000,train
0.1607314,0.06435377,0.11350778,0.38869762,0.044199355,0.0059056617,0.5213746,0.5213746,52000,train
0.16118413,0.064002484,0.115267836,0.38969684,0.043478686,0.0057638525,0.5222487,0.5222487,53000,train
0.15975103,0.06330192,0.11170854,0.38144714,0.0410125,0.0056735384,0.5138749,0.5138749,54000,train
0.16237569,0.063791156,0.11615889,0.39077532,0.042574067,0.0058753057,0.5230783,0.5230783,55000,train
0.16280837,0.063690186,0.11685707,0.39179844,0.042599846,0.005843039,0.52397674,0.52397674,56000,train
0.1608698,0.06318013,0.117484905,0.3902633,0.043168828,0.005559722,0.52231556,0.52231556,57000,train
0.16122682,0.06342669,0.11237788,0.38417858,0.04156362,0.0055836095,0.5161073,0.5161073,58000,train
0.15923302,0.06332109,0.11427998,0.38384703,0.041213773,0.0057988125,0.5156518,0.5156518,59000,train
0.16080604,0.063195325,0.1150005,0.38643453,0.04166618,0.005766416,0.5181124,0.5181124,60000,train
0.16121909,0.063247666,0.11341927,0.38413757,0.040574525,0.0056770234,0.5156921,0.5156921,61000,train
0.16148826,0.06368091,0.11434868,0.3871648,0.041807044,0.0058402168,0.5185955,0.5185955,62000,train
0.15849806,0.062712364,0.11220239,0.38116106,0.04205454,0.0056938697,0.51246864,0.51246864,63000,train
0.1590589,0.06240208,0.11598092,0.3867562,0.043614164,0.0056996173,0.51793945,0.51793945,64000,train
0.15963556,0.062492177,0.11356936,0.38398728,0.042515192,0.0057751494,0.5150465,0.5150465,65000,train
0.15914483,0.06327557,0.11360971,0.3826319,0.040985364,0.005616243,0.51356673,0.51356673,66000,train
0.15877336,0.06278766,0.11611564,0.38480476,0.04138038,0.005747794,0.51561534,0.51561534,67000,train
0.1583854,0.06244882,0.113025464,0.38182017,0.042201445,0.005759165,0.5125073,0.5125073,68000,train
0.16065049,0.062984474,0.11274534,0.38381597,0.041768614,0.0056670816,0.5143804,0.5143804,69000,train
