frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.4493902,0.22193767,0.53001136,1.3165387,0.0707819,0.044417255,2.0869558,2.0869558,1000,train
0.3003403,0.19353402,0.39328384,0.97221404,0.058668524,0.026388092,1.6889151,1.6889151,2000,train
0.25148183,0.17745017,0.34320202,0.84370846,0.05190157,0.019673105,1.5076278,1.5076278,3000,train
0.23058492,0.16601351,0.32760617,0.8036635,0.0599687,0.019489886,1.4251814,1.4251814,4000,train
0.20748897,0.15716071,0.30606034,0.7336489,0.047238085,0.015700728,1.3169216,1.3169216,5000,train
0.19771124,0.155452,0.29449725,0.7064445,0.044844344,0.013939695,1.2474413,1.2474413,6000,train
0.19086465,0.14991269,0.28318658,0.6805305,0.043223105,0.013343576,1.1835766,1.1835766,7000,train
0.18198422,0.14721358,0.2608179,0.6446255,0.042384047,0.012225842,1.1122068,1.1122068,8000,train
0.1777537,0.14229684,0.25437975,0.6268755,0.040672794,0.011773181,1.0626695,1.0626695,9000,train
0.17153528,0.13893132,0.2507251,0.6113928,0.039179616,0.011021672,1.0179819,1.0179819,10000,train
0.16291937,0.13222994,0.24242091,0.5871876,0.039186247,0.010431198,0.9673201,0.9673201,11000,train
0.16267957,0.13224174,0.23171814,0.5753054,0.038218398,0.010447698,0.9311924,0.9311924,12000,train
0.15688686,0.12986794,0.23380509,0.5666999,0.036411487,0.009728664,0.90116304,0.90116304,13000,train
0.15637025,0.13073248,0.23077524,0.5647212,0.03692608,0.009916909,0.8811885,0.8811885,14000,train
0.15237957,0.12844233,0.22504261,0.5519022,0.036628056,0.009409511,0.8517546,0.8517546,15000,train
0.13426878,0.11690323,0.19085565,0.48185372,0.031571317,0.008254917,0.7720714,0.7720714,16000,train
0.12725377,0.114213176,0.17989124,0.45901418,0.02998635,0.0076694055,0.746599,0.746599,17000,train
0.12434732,0.111679025,0.17547297,0.44898564,0.029842306,0.0076441583,0.73397356,0.73397356,18000,train
0.12090787,0.10886738,0.17389357,0.43923762,0.028578393,0.006990662,0.72166646,0.72166646,19000,train
0.1222147,0.109690435,0.16979857,0.43707237,0.02826074,0.007107751,0.71697456,0.71697456,20000,train
0.11932733,0.10737025,0.16786356,0.4303138,0.028670283,0.0070821354,0.7083714,0.7083714,21000,train
0.11864556,0.10830015,0.15795118,0.41895342,0.027158037,0.006898519,0.6958598,0.6958598,22000,train
0.117682,0.10762674,0.16247535,0.423093,0.028538464,0.006770627,0.6988547,0.6988547,23000,train
0.116559215,0.10678846,0.16060919,0.41849276,0.02770561,0.006830279,0.69311434,0.69311434,24000,train
0.116630696,0.10743559,0.16168101,0.41932976,0.026928471,0.006654091,0.6928172,0.6928172,25000,train
0.116914086,0.10568542,0.15367429,0.41042787,0.027465912,0.006688383,0.68279034,0.68279034,26000,train
0.114320815,0.10581817,0.15587239,0.4100668,0.027484044,0.0065716226,0.68130803,0.68130803,27000,train
0.11355593,0.104825184,0.1495081,0.40125626,0.026943933,0.0064230403,0.6713843,0.6713843,28000,train
0.113141455,0.10362031,0.15116507,0.40155482,0.027184082,0.0064440225,0.67057306,0.67057306,29000,train
0.11380912,0.10517375,0.14961374,0.40148535,0.026288118,0.0066003324,0.66940147,0.66940147,30000,train
0.1127869,0.103699565,0.14905922,0.39883244,0.026874779,0.006411825,0.66565514,0.66565514,31000,train
0.11391971,0.10328592,0.15178797,0.40245935,0.027125778,0.0063399463,0.6681924,0.6681924,32000,train
0.11262284,0.10267087,0.14906953,0.3976849,0.026844025,0.0064776824,0.6623374,0.6623374,33000,train
0.111419685,0.101664156,0.1440863,0.38893288,0.025616411,0.006146243,0.6525096,0.6525096,34000,train
0.11083729,0.10228427,0.1456262,0.39183787,0.02675162,0.006338636,0.6543453,0.6543453,35000,train
0.10976532,0.101331316,0.1438497,0.38757142,0.02629695,0.006328559,0.6490155,0.6490155,36000,train
0.109226175,0.10068397,0.13979077,0.38099143,0.025310062,0.005980534,0.64137566,0.64137566,37000,train
0.11082354,0.10138324,0.13702804,0.38214397,0.026692808,0.0062163966,0.64147526,0.64147526,38000,train
0.10931829,0.10073956,0.13996308,0.3823395,0.026131626,0.006186892,0.64062315,0.64062315,39000,train
0.108316936,0.10149644,0.13925934,0.38007885,0.025063576,0.0059427023,0.6373228,0.6373228,40000,train
0.10981832,0.1001453,0.13975774,0.3810172,0.0252696,0.0060259695,0.6372266,0.6372266,41000,train
0.10797086,0.09821636,0.13665691,0.37451184,0.025777876,0.005889655,0.6296942,0.6296942,42000,train
0.1082757,0.101146884,0.138603,0.3793479,0.025360864,0.005961435,0.63350904,0.63350904,43000,train
0.10801233,0.09932022,0.13605161,0.3737679,0.024456663,0.0059272395,0.62691545,0.62691545,44000,train
0.106243916,0.09919464,0.13373873,0.3690686,0.023883851,0.0060077915,0.62120646,0.62120646,45000,train
0.104117684,0.09744573,0.13573606,0.36870927,0.02555332,0.0058562662,0.61984766,0.61984766,46000,train
0.10481502,0.09796783,0.13410184,0.3669309,0.024336651,0.0057099927,0.617075,0.617075,47000,train
0.10633922,0.09798005,0.13402554,0.3695163,0.02526739,0.005904426,0.6186707,0.6186707,48000,train
0.10407724,0.09615289,0.13160999,0.3617152,0.024230944,0.0056442134,0.60988396,0.60988396,49000,train
