box,cls,model,total,training,step,mode,validation
0.0065955627,0.4319619,0.7617398,1.9404255,1.9404255,2000,train,
0.013355886,0.82443285,1.4922272,2.5474143,,2000,eval,2.5474143
0.005699664,0.38048396,0.6654676,1.6142757,1.6142757,3000,train,
0.011865189,0.6204493,1.2137086,2.0642812,,3000,eval,2.0642812
0.0051625627,0.3543361,0.6124639,1.380699,1.380699,4000,train,
0.011679384,0.56929773,1.1532669,1.8548045,,4000,eval,1.8548045
0.004915127,0.3340655,0.5798219,1.2152135,1.2152135,5000,train,
0.009898903,0.53350043,1.0284456,1.6019819,,5000,eval,1.6019819
0.0046567116,0.31970122,0.55253655,1.0735492,1.0735492,6000,train,
0.0098307915,0.47705573,0.96859527,1.4408221,,6000,eval,1.4408221
0.0053525497,0.40207347,0.6697017,1.1670235,1.1670235,7000,train,
0.012710968,0.74495625,1.3805046,1.866764,,7000,eval,1.866764
0.004666473,0.3272944,0.5606182,1.0025328,1.0025328,8000,train,
0.0104364585,0.5443718,1.0661947,1.4671593,,8000,eval,1.4671593
0.00434189,0.3053032,0.52239776,0.8897689,0.8897689,9000,train,
0.012051682,0.6283343,1.2309183,1.566686,,9000,eval,1.566686
0.004176733,0.29288208,0.5017185,0.811247,0.811247,10000,train,
0.010004136,0.6015094,1.1017163,1.3876914,,10000,eval,1.3876914
0.004055769,0.28383002,0.48661837,0.7507569,0.7507569,11000,train,
0.011410004,0.4634655,1.0339658,1.2779852,,11000,eval,1.2779852
0.0038960713,0.27356026,0.46836329,0.6953795,0.6953795,12000,train,
0.0091430135,0.5419277,0.9990785,1.210212,,12000,eval,1.210212
0.0037671982,0.26576462,0.4541242,0.65211236,0.65211236,13000,train,
0.009862596,0.569225,1.0623548,1.2479987,,13000,eval,1.2479987
0.003749903,0.26586398,0.45335883,0.62933207,0.62933207,14000,train,
0.0090574175,0.49660313,0.94947404,1.1166595,,14000,eval,1.1166595
0.0036767395,0.26261708,0.44645378,0.60551804,0.60551804,15000,train,
0.0144773815,0.83654016,1.5604092,1.7118742,,15000,eval,1.7118742
0.0031645678,0.2337867,0.39201477,0.54187053,0.54187053,16000,train,
0.008894645,0.4073953,0.8521276,1.0003136,,16000,eval,1.0003136
0.0029385793,0.22020873,0.36713758,0.51368284,0.51368284,17000,train,
0.010061366,0.41959628,0.9226646,1.0675817,,17000,eval,1.0675817
0.0027969661,0.2123403,0.35218877,0.49552467,0.49552467,18000,train,
0.009576945,0.4134165,0.89226377,1.0340269,,18000,eval,1.0340269
0.0027879067,0.21075918,0.35015398,0.490384,0.490384,19000,train,
0.008670699,0.38579533,0.81933033,0.958042,,19000,eval,0.958042
0.0028179362,0.21174845,0.35264546,0.48986846,0.48986846,20000,train,
0.00961305,0.41700348,0.89765596,1.0334055,,20000,eval,1.0334055
0.002693684,0.20603338,0.34071738,0.47628337,0.47628337,21000,train,
0.008693339,0.39554217,0.83020914,0.9656143,,21000,eval,0.9656143
0.002681605,0.20409048,0.33817032,0.47341734,0.47341734,22000,train,
0.008884391,0.39524412,0.83946365,0.97455066,,22000,eval,0.97455066
0.0026542228,0.20295486,0.33566624,0.47059438,0.47059438,23000,train,
0.009036867,0.39126277,0.84310615,0.97787535,,23000,eval,0.97787535
0.0025966223,0.1998198,0.32965088,0.4642623,0.4642623,24000,train,
0.008746685,0.3843976,0.82173187,0.9561842,,24000,eval,0.9561842
0.0027357417,0.20604612,0.3428332,0.47712713,0.47712713,25000,train,
0.008779277,0.38737476,0.8263386,0.9604745,,25000,eval,0.9604745
0.0026909686,0.20323133,0.3377797,0.4717575,0.4717575,26000,train,
0.008323808,0.3816821,0.79787254,0.9316928,,26000,eval,0.9316928
0.0026346506,0.20048045,0.3322132,0.46587652,0.46587652,27000,train,
0.008744089,0.39103737,0.82824177,0.9617477,,27000,eval,0.9617477
0.0026478975,0.2015313,0.33392638,0.4672749,0.4672749,28000,train,
0.008371659,0.37766173,0.7962446,0.9294366,,28000,eval,0.9294366
0.0026161934,0.19933365,0.33014318,0.4631787,0.4631787,29000,train,
0.0088163195,0.38908225,0.82989824,0.96277684,,29000,eval,0.96277684
0.0026201895,0.19954886,0.33055854,0.4632815,0.4632815,30000,train,
0.008389483,0.37562305,0.7950972,0.9276637,,30000,eval,0.9276637
0.0026299357,0.20077106,0.33226755,0.46467817,0.46467817,31000,train,
0.008469622,0.38326752,0.80674857,0.93900347,,31000,eval,0.93900347
0.0026158849,0.1986067,0.32940125,0.46150097,0.46150097,32000,train,
0.008253608,0.37505466,0.7877351,0.9196798,,32000,eval,0.9196798
0.002654632,0.20113228,0.33386406,0.4656536,0.4656536,33000,train,
0.008240783,0.3741017,0.7861408,0.9177755,,33000,eval,0.9177755
0.0025822364,0.19732772,0.32643956,0.45791987,0.45791987,34000,train,
0.008467941,0.37888575,0.80228287,0.93360823,,34000,eval,0.93360823
0.0026024505,0.19808619,0.32820904,0.45938033,0.45938033,35000,train,
0.008009664,0.3644858,0.764969,0.89598614,,35000,eval,0.89598614
0.0026149726,0.19835296,0.3291015,0.45996502,0.45996502,36000,train,
0.008056401,0.36659458,0.7694146,0.90012425,,36000,eval,0.90012425
0.0025772168,0.19733395,0.32619455,0.45675042,0.45675042,37000,train,
0.008318838,0.37145734,0.78739923,0.917802,,37000,eval,0.917802
0.002682716,0.20185211,0.3359878,0.46623796,0.46623796,38000,train,
0.008326887,0.37025958,0.786604,0.9167012,,38000,eval,0.9167012
0.002553838,0.19553769,0.32322955,0.45317414,0.45317414,39000,train,
0.008059352,0.36547744,0.768445,0.8982363,,39000,eval,0.8982363
