box,cls,model,total,training,step,mode
0.008874191,0.5594173,1.0031264,2.402513,2.402513,1000,train
0.0063048173,0.4027906,0.71803164,1.8696796,1.8696796,2000,train
0.005890492,0.39212716,0.6866515,1.6434287,1.6434287,3000,train
0.005073683,0.33972412,0.5934082,1.3757677,1.3757677,4000,train
0.0047464957,0.32512513,0.56244946,1.204966,1.204966,5000,train
0.0045087016,0.31115845,0.53659356,1.0881662,1.0881662,6000,train
0.0042217514,0.2938865,0.50497407,0.9764535,0.9764535,7000,train
0.004368525,0.30881736,0.52724385,0.92475206,0.92475206,8000,train
0.0044424874,0.3218658,0.54399014,0.9129962,0.9129962,9000,train
0.0042800508,0.2968288,0.5108315,0.85146475,0.85146475,10000,train
0.0039326036,0.27579585,0.4724261,0.771283,0.771283,11000,train
0.0037498646,0.2657614,0.45325428,0.7056981,0.7056981,12000,train
0.0035601263,0.25488275,0.43288922,0.6500444,0.6500444,13000,train
0.0035510156,0.25279346,0.43034407,0.62035304,0.62035304,14000,train
0.00338901,0.24408829,0.41353878,0.5833046,0.5833046,15000,train
0.0028808916,0.21653529,0.3605797,0.52050066,0.52050066,16000,train
0.0026375235,0.20317285,0.33504888,0.4914361,0.4914361,17000,train
0.0025856819,0.20014937,0.32943347,0.48239142,0.48239142,18000,train
0.0025136275,0.19643787,0.32211882,0.47175202,0.47175202,19000,train
0.002516693,0.19588071,0.3217153,0.4681341,0.4681341,20000,train
0.0024010045,0.19028962,0.31033984,0.4544293,0.4544293,21000,train
0.0023856517,0.18728028,0.3065633,0.44918802,0.44918802,22000,train
0.0023476698,0.18578054,0.30316406,0.44434437,0.44434437,23000,train
0.00230693,0.18435793,0.2997044,0.43945795,0.43945795,24000,train
0.0023521692,0.18634412,0.3039525,0.44229922,0.44229922,25000,train
0.0023161406,0.1825156,0.29832253,0.43528354,0.43528354,26000,train
0.0022473459,0.18158306,0.29395047,0.42954496,0.42954496,27000,train
0.0022215697,0.17698492,0.2880635,0.4223089,0.4223089,28000,train
0.0022482383,0.17919885,0.2916108,0.42452386,0.42452386,29000,train
0.0022726832,0.17981836,0.29345265,0.42505398,0.42505398,30000,train
0.0022673835,0.17859182,0.2919608,0.42227167,0.42227167,31000,train
0.0022202758,0.1752697,0.2862834,0.41532186,0.41532186,32000,train
0.002191673,0.1763124,0.2858962,0.41367802,0.41367802,33000,train
0.0021631066,0.17290722,0.28106248,0.4076073,0.4076073,34000,train
0.002164857,0.17217669,0.2804196,0.4057475,0.4057475,35000,train
0.0021702184,0.17273329,0.28124416,0.4053724,0.4053724,36000,train
0.0021139323,0.16964105,0.27533764,0.39828724,0.39828724,37000,train
0.002163016,0.17176858,0.27991918,0.40170705,0.40170705,38000,train
0.0020726775,0.16746914,0.27110288,0.39174733,0.39174733,39000,train
0.0021290155,0.16940886,0.27585968,0.3953772,0.3953772,40000,train
0.002110405,0.16816267,0.273683,0.3920992,0.3920992,41000,train
0.0020616893,0.16635002,0.2694346,0.3867671,0.3867671,42000,train
0.0020802622,0.16608709,0.2701001,0.3863624,0.3863624,43000,train
0.0020538098,0.16540094,0.26809147,0.38330114,0.38330114,44000,train
0.0020088458,0.16249485,0.26293725,0.37711465,0.37711465,45000,train
0.0020117112,0.162277,0.2628623,0.3760243,0.3760243,46000,train
0.0019879653,0.16148502,0.2608833,0.37304667,0.37304667,47000,train
0.0020126428,0.16220194,0.26283422,0.37401548,0.37401548,48000,train
0.001997057,0.1605248,0.2603775,0.37059435,0.37059435,49000,train
0.0019416985,0.15829271,0.25537765,0.3646446,0.3646446,50000,train
0.0019796102,0.15907274,0.25805312,0.36638507,0.36638507,51000,train
0.0019387178,0.15788172,0.25481775,0.3622269,0.3622269,52000,train
0.0019480017,0.1568449,0.25424486,0.36075073,0.36075073,53000,train
0.0019220265,0.15627635,0.25237787,0.3579961,0.3579961,54000,train
0.0019301507,0.15706065,0.2535681,0.35831785,0.35831785,55000,train
0.0019001854,0.15550742,0.25051698,0.35442218,0.35442218,56000,train
0.0019027804,0.15383819,0.24897724,0.35204712,0.35204712,57000,train
0.001860728,0.1522471,0.24528353,0.34753066,0.34753066,58000,train
0.0018921439,0.15381967,0.24842696,0.34985518,0.34985518,59000,train
0.0018841969,0.15292868,0.24713838,0.34777126,0.34777126,60000,train
0.0018574699,0.15184546,0.24471915,0.344583,0.344583,61000,train
0.0018354151,0.15094851,0.24271916,0.34181604,0.34181604,62000,train
0.0018572615,0.15086618,0.24372911,0.3420704,0.3420704,63000,train
0.0018154919,0.14915513,0.23992977,0.3375384,0.3375384,64000,train
0.0018178149,0.14890677,0.23979753,0.33668068,0.33668068,65000,train
0.0018575584,0.14983761,0.24271564,0.33889258,0.33889258,66000,train
0.0017624025,0.14513251,0.23325275,0.32873094,0.32873094,67000,train
0.0018039498,0.1474525,0.23765011,0.332437,0.332437,68000,train
0.0017896479,0.14615999,0.23564245,0.3297597,0.3297597,69000,train
0.0017721297,0.14574818,0.23435456,0.32781142,0.32781142,70000,train
0.0017421615,0.14335915,0.23046713,0.32327127,0.32327127,71000,train
0.0017285912,0.14328131,0.22971082,0.32188216,0.32188216,72000,train
0.0017648739,0.14477387,0.23301756,0.32456106,0.32456106,73000,train
0.0017467467,0.14310913,0.23044647,0.32138732,0.32138732,74000,train
0.0016793013,0.14054725,0.22451225,0.31485033,0.31485033,75000,train
0.0017472716,0.14287047,0.23023415,0.31999323,0.31999323,76000,train
0.001716216,0.14241908,0.22822982,0.31741723,0.31741723,77000,train
0.0017018764,0.14048156,0.22557531,0.31420347,0.31420347,78000,train
0.0017053031,0.14101754,0.22628286,0.31435058,0.31435058,79000,train
0.001712568,0.1405423,0.226171,0.3136934,0.3136934,80000,train
0.00166795,0.13786519,0.22126268,0.3082435,0.3082435,81000,train
0.0016400146,0.13623981,0.2182405,0.30469337,0.30469337,82000,train
0.0016746544,0.13841355,0.22214618,0.30808952,0.30808952,83000,train
0.0016460199,0.13653243,0.21883331,0.30428043,0.30428043,84000,train
0.0016201187,0.13537714,0.21638308,0.30134526,0.30134526,85000,train
0.0016506154,0.13698153,0.21951236,0.30399182,0.30399182,86000,train
0.0016776954,0.1371545,0.221039,0.3050472,0.3050472,87000,train
0.0016027445,0.1347173,0.2148546,0.29839665,0.29839665,88000,train
0.0016528248,0.1364715,0.21911255,0.30219856,0.30219856,89000,train
0.001632818,0.13594551,0.21758622,0.30023935,0.30023935,90000,train
0.0016096733,0.13285857,0.21334201,0.29557437,0.29557437,91000,train
0.0015840473,0.13302301,0.21222545,0.29402193,0.29402193,92000,train
0.0015898072,0.13159685,0.21108727,0.29246524,0.29246524,93000,train
0.0016051495,0.1328734,0.21313053,0.29410183,0.29410183,94000,train
0.0015834919,0.13217948,0.21135381,0.2919187,0.2919187,95000,train
0.001598512,0.13240866,0.2123343,0.29250944,0.29250944,96000,train
0.0015415025,0.12944281,0.20651771,0.28630468,0.28630468,97000,train
0.0015564973,0.1301853,0.20801027,0.2874216,0.2874216,98000,train
0.0015544944,0.12953815,0.20726267,0.28630307,0.28630307,99000,train
0.001554692,0.12979938,0.20753406,0.2862058,0.2862058,100000,train
0.001577311,0.13015072,0.20901635,0.28734174,0.28734174,101000,train
0.0015210875,0.1277351,0.20378935,0.28177083,0.28177083,102000,train
0.0014927448,0.12622352,0.20086087,0.2785031,0.2785031,103000,train
0.0015465603,0.12789962,0.20522778,0.28254342,0.28254342,104000,train
0.0015375986,0.12853129,0.20541121,0.2824063,0.2824063,105000,train
0.0015309561,0.12753403,0.20408174,0.28077704,0.28077704,106000,train
0.0014972688,0.12594147,0.20080484,0.27719286,0.27719286,107000,train
0.0014982598,0.12588203,0.20079504,0.27687785,0.27687785,108000,train
0.0014986186,0.12584516,0.20077601,0.2765776,0.2765776,109000,train
0.0014844713,0.12446043,0.19868405,0.27418804,0.27418804,110000,train
0.001520723,0.12627308,0.20230927,0.27753404,0.27753404,111000,train
0.0014768676,0.12415288,0.19799627,0.27295533,0.27295533,112000,train
0.0014951561,0.12470828,0.19946603,0.2741465,0.2741465,113000,train
0.001448737,0.12279144,0.1952282,0.26963207,0.26963207,114000,train
0.0014805609,0.12414403,0.19817196,0.27231932,0.27231932,115000,train
0.0014461346,0.122177295,0.19448398,0.26839274,0.26839274,116000,train
0.0014295125,0.12108247,0.19255811,0.26622856,0.26622856,117000,train
0.0014520254,0.12281642,0.19541788,0.2688447,0.2688447,118000,train
0.0014646243,0.1216164,0.19484766,0.26803112,0.26803112,119000,train
0.0014375242,0.12181365,0.19368972,0.2666422,0.2666422,120000,train
0.0014303661,0.1207783,0.19229668,0.2650363,0.2650363,121000,train
0.0014506862,0.12064333,0.19317764,0.26570204,0.26570204,122000,train
0.0013988193,0.11859312,0.18853404,0.2608427,0.2608427,123000,train
0.0014047079,0.11872755,0.18896295,0.26106226,0.26106226,124000,train
0.0014044668,0.11803878,0.18826206,0.26015407,0.26015407,125000,train
0.0014306598,0.11891205,0.19044487,0.26215565,0.26215565,126000,train
0.0013736407,0.11652191,0.1852039,0.2567172,0.2567172,127000,train
0.0014169384,0.1189832,0.18983008,0.26114556,0.26114556,128000,train
0.0014194146,0.11784906,0.18881978,0.25993532,0.25993532,129000,train
0.001348189,0.11434371,0.18175322,0.2526766,0.2526766,130000,train
0.0013882458,0.118093364,0.18750559,0.25825587,0.25825587,131000,train
0.0013467949,0.11566077,0.18300058,0.25358832,0.25358832,132000,train
0.0013867461,0.11727531,0.18661246,0.25702843,0.25702843,133000,train
0.0013736509,0.116067566,0.18475032,0.25500092,0.25500092,134000,train
0.0013507011,0.115694165,0.18322907,0.25332615,0.25332615,135000,train
0.0013566584,0.114452794,0.1822858,0.25221595,0.25221595,136000,train
0.0013503275,0.11404813,0.18156458,0.25132647,0.25132647,137000,train
0.0013926819,0.11649458,0.18612881,0.25576052,0.25576052,138000,train
0.0013369652,0.11431119,0.18115953,0.25066143,0.25066143,139000,train
0.0013445194,0.11436341,0.18158935,0.25094113,0.25094113,140000,train
0.0013394034,0.11294619,0.1799164,0.24912184,0.24912184,141000,train
0.0013253328,0.11209929,0.17836604,0.24741696,0.24741696,142000,train
